permission,permission_category,permission_description
222,Other,start any activity
223,Other,connect and disconnect from WiMAX
224,Other,Read install sessions
225,Other,read instant messages
226,Other,write instant messages
227,Other,Change WiMAX state
228,Other,record audio
229,Other,bind to a print service
230,Other,take pictures and videos
231,Other,access watched TV program information
232,Other,precise location (GPS and network-based)
233,Other,bind to a text service
234,Other,access checkin properties
235,Other,bind to a voice interactor
236,Other,read phone status and identity
237,Other,control location update notifications
238,Other,interact with in-call screen
239,Other,bind to an input method
240,Other,directly call phone numbers
241,Other,bind to NFC service
242,Other,send Linux signals to apps
243,Other,force background apps to close
244,Other,force app to close
245,Other,move app resources
246,Other,copy content
247,Other,find accounts on the device
248,Other,read/write to resources owned by diag
249,Other,read your contacts
250,Other,access DRM certificates
251,Other,access notifications
252,Other,interact with telephony services
253,Other,bind to a widget service
254,Other,bind to a TV input
255,Other,Broadcast the call type/duration information
256,Other,disable transmit indicator LED when camera is in use
257,Other,Reserve space in the download cache
258,Other,Launch trust agent settings menu.
259,Other,manage trusted credentials
260,Other,modify parental controls
261,Other,Receive Android Beam transfer status
262,Other,verify packages
263,Other,directly start CDMA device setup
264,Other,Register to handle the broadcasted call type/duration information
265,Other,receive Bluetooth messages (MAP)
266,Other,receive emergency broadcasts
267,Other,remove DRM certificates
268,Other,access serial ports
269,Other,view Wi-Fi connections
270,Other,access InputFlinger
271,Other,access Bluetooth MAP data
272,Other,manage app tokens
273,Other,bind to a dream service
274,Other,permanently disable device
275,Other,run in factory test mode
276,Other,change pointer speed
277,Other,grant or revoke permissions
278,Other,read sensitive log data
279,Other,control Wifi displays
280,Other,start print service configuration activities
281,Other,Google Maps
282,Other,approximate location (network-based)
283,Other,AdSense
284,Other,AdWords
285,Other,Google App Engine
286,Other,Blogger
287,Other,Google Calendar
288,Other,Dodgeball
289,Other,Google Finance
290,Other,Google Base
291,Other,Google Voice
292,Other,Google Groups
293,Other,Google Health
294,Other,iGoogle accounts
295,Other,JotSpot
296,Other,Knol
297,Other,Picasa Web Albums
298,Other,Google mobile apps
